MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,0.0,,0.0,0.0,,,,,,0.0,,CID2999671,CCn1c(CSc2nccn2C)nc2cc(C(=O)O)ccc21
,,0.0,0.0,,,,0.0,,,0.0,,0.0,,,0.0,,CID5390007,CCc1cccc2c1NC(=O)C21C2C(=O)N(Cc3ccccc3)C(=O)C2C2CCCN21
,0.0,,,0.0,,0.0,,,,,,,,0.0,,0.0,CID647480,Cc1nn(-c2ccccc2)c(Cl)c1C1C(C#N)=C(N)OC2=C1C(=O)CCC2
,,0.0,,,,0.0,,0.0,,,,,,,,0.0,CID647481,O=C(NCCNC(=O)C(c1ccccc1)c1ccccc1)c1ccco1
,0.0,,,,,,,,,,,,,,0.0,0.0,CID3240399,Cn1cnnc1SCC(=O)OCN1C(=O)c2ccccc2C1=O
,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,CID650808,Cc1ccc2c(c1)nnn2C1CCN(S(=O)(=O)c2cccc(S(=O)(=O)N(C)C)c2)CC1
,,,,,,,0.0,0.0,,,,,,,,,CID650809,Cn1c(NCCCO)nc2c(c1=O)C1(CCCCC1)Cc1ccccc1-2
,,,,0.0,,,0.0,,0.0,,,,,,0.0,,CID650803,CCOc1ccc(NC(=O)C2CCC(N3C(=O)C4CC=CCC4C3=O)CC2)cc1
,,0.0,,,,,0.0,,,,,,,,,,CID650804,Cc1cc(NC(=O)c2cccnc2)ccc1NC(=O)c1ccco1
,,,,,,,,,,,0.0,,,,,,CID648334,Cc1ccc(NC(=O)C2CCCN(c3ncccn3)C2)cc1F
,,,,0.0,,,,,,,,,,,,,CID648336,COc1ccc(CN(C(=O)CN2C(=O)COc3ccccc32)C2CCCC2)c(OC)c1
,0.0,,,0.0,,0.0,0.0,,,,,,,,0.0,,CID665718,c1ccc(-c2nn3c(-c4ccco4)nnc3s2)nc1
,,0.0,,,,0.0,,0.0,,,,0.0,,,,,CID665719,COc1ccc(CCn2c(N3CCN(Cc4ccccc4)CC3)nc3c2c(=O)[nH]c(=O)n3C)cc1
